Total Portfolio by Individual Asset in EUR,,,,,,,,,,,,,,,,,,,,Total Portfolio by Individual Asset in EUR,,,,,,,,,,,,,,,,,,,Total Portfolio by Individual Asset in Original Currencies,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By:,Platform,Asc,Portfolio Market Value:,,"43.674,98",,Cash Dividends:,,"0,00",Dividends (DRIP):,,"0,00",Top Performer Today,,,Daily Portfolio % Change,,"0,01%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio with Closed Positions:,,TRUE,Positions:,,"8.888,53","20,35%",Cash Interest:,,"0,00",Crypto Interest (Fiat):,,"0,00",BIT:CMOD,"0,94%",,Daily Portfolio Change,,"6,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Portfolio with Fees:,,TRUE,Cash:,,"34.786,45","79,65%",,,,,,,Worst Performer Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refresh Yahoo Finance:,,TRUE,,,,,,,,,,,BIT:VECA,"-0,21%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platform,Asset Ticker,Crypto URL Name,DRIP Quantity,Crypto Interest,Total Quantity Owned,Market Price,Daily % Change,Total Daily Change,Market Value (DRIP),Market Value (Crypto Interest),Total Market Value,Cash Dividends,Cash Interest,Asset Class,Sector,Country,Strategy,365 Day Trend,,Platform,Asset Ticker,Crypto URL Name,DRIP Quantity,Crypto Interest,Total Quantity Owned,Market Price,Daily % Change,Total Daily Change,Market Value (DRIP),Market Value (Crypto Interest),Total Market Value,Cash Dividends,Cash Interest,Asset Class,Sector,Country,Strategy,,Asset_Platform,Platform,Asset Ticker,Crypto URL Name,DRIP Quantity,Crypto Interest,Total Quantity Owned,Currency,Market Price,Daily % Change,Total Daily Change,Market Value (DRIP),Market Value (Crypto Interest),Total Market Value,Cash Dividends,Cash Interest,Asset Class,Sector,Country,Strategy
BBVA,Cash,,"0,00","0,00000000","1,00","14.000,00",,,"0,00","0,00","14.000,00","0,00","0,00",Cash,,Italy,,,,Fineco,Cash,,"0,00","0,00000000","1,00","153,03",,,"0,00","0,00","153,03","0,00","0,00",Cash,,Italy,,,Cash_Fineco,Fineco,Cash,,"0,00","0,00000000","1,00",EUR,"153,03",,,"0,00","0,00","153,03","0,00","0,00",Cash,,Italy,
Binance,BTCEUR,,"0,00","0,00000000","0,02","92.090,50",,,"0,00","0,00","1.726,31","0,00","0,00",Crypto,Crypto,United States,Play,,,Fineco,ACWIA.MI,,"0,00","0,00000000","3,00","200,05",,,"0,00","0,00","600,15","0,00","0,00",ETF,ETF,United States,Core,,ACWIA.MI_Fineco,Fineco,ACWIA.MI,,"0,00","0,00000000","3,00",EUR,"200,05",,,"0,00","0,00","600,15","0,00","0,00",ETF,ETF,United States,Core
Binance,ETHEUR,,"0,00","0,00000000","0,20","3.106,76",,,"0,00","0,00","633,25","0,00","0,00",Crypto,Crypto,United States,Play,,,Fineco,PHAU.MI,,"0,00","0,00000000","2,00","322,51",,,"0,00","0,00","645,02","0,00","0,00",ETF,ETF,United States,Core,,PHAU.MI_Fineco,Fineco,PHAU.MI,,"0,00","0,00000000","2,00",EUR,"322,51",,,"0,00","0,00","645,02","0,00","0,00",ETF,ETF,United States,Core
Binance,SOLEUR,,"0,00","0,00000000","0,04","143,22",,,"0,00","0,00","5,24","0,00","0,00",Crypto,Crypto,United States,Play,,,Fineco,BIT:A500,,"0,00","0,00000000","2,00","117,75","0,17%","0,40","0,00","0,00","235,50","0,00","0,00",ETF,ETF,United States,Core,,BIT:A500_Fineco,Fineco,BIT:A500,,"0,00","0,00000000","2,00",EUR,"117,75","0,17%","0,40","0,00","0,00","235,50","0,00","0,00",ETF,ETF,United States,Core
Binance,BNBEUR,,"0,00","0,00000000","0,01","855,22",,,"0,00","0,00","6,09","0,00","0,00",Crypto,Crypto,United States,Play,,,Fineco,BIT:EMI,,"0,00","0,00000000","2,00","167,95","-0,10%","-0,32","0,00","0,00","335,90","0,00","0,00",ETF,ETF,European Union,Core,,BIT:EMI_Fineco,Fineco,BIT:EMI,,"0,00","0,00000000","2,00",EUR,"167,95","-0,10%","-0,32","0,00","0,00","335,90","0,00","0,00",ETF,ETF,European Union,Core
Crypto,BTCEUR,,"0,00","0,00000000","0,00","92.090,50",,,"0,00","0,00","2,67","0,00","0,00",Crypto,Crypto,United States,Play,,,Crypto,BTCEUR,,"0,00","0,00000000","0,00","92.090,50",,,"0,00","0,00","2,67","0,00","0,00",Crypto,Crypto,United States,Play,,BTCEUR_Crypto,Crypto,BTCEUR,,"0,00","0,00000000","0,00",EUR,"92.090,50",,,"0,00","0,00","2,67","0,00","0,00",Crypto,Crypto,United States,Play
Crypto,ADAEUR,,"0,00","0,00000000","8,00","0,48",,,"0,00","0,00","3,82","0,00","0,00",Crypto,Crypto,United States,Play,,,Crypto,ADAEUR,,"0,00","0,00000000","8,00","0,48",,,"0,00","0,00","3,82","0,00","0,00",Crypto,Crypto,United States,Play,,ADAEUR_Crypto,Crypto,ADAEUR,,"0,00","0,00000000","8,00",EUR,"0,48",,,"0,00","0,00","3,82","0,00","0,00",Crypto,Crypto,United States,Play
Crypto,ETHEUR,,"0,00","0,00000000","0,00","3.106,76",,,"0,00","0,00","12,43","0,00","0,00",Crypto,Crypto,United States,Play,,,Crypto,ETHEUR,,"0,00","0,00000000","0,00","3.106,76",,,"0,00","0,00","12,43","0,00","0,00",Crypto,Crypto,United States,Play,,ETHEUR_Crypto,Crypto,ETHEUR,,"0,00","0,00000000","0,00",EUR,"3.106,76",,,"0,00","0,00","12,43","0,00","0,00",Crypto,Crypto,United States,Play
Crypto,SHIB-EUR,,"0,00","0,00000000","1.000.000,00","0,00",,,"0,00","0,00","7,93","0,00","0,00",Crypto,Crypto,United States,Play,,,Crypto,SHIB-EUR,,"0,00","0,00000000","1.000.000,00","0,00",,,"0,00","0,00","7,93","0,00","0,00",Crypto,Crypto,United States,Play,,SHIB-EUR_Crypto,Crypto,SHIB-EUR,,"0,00","0,00000000","1.000.000,00",EUR,"0,00",,,"0,00","0,00","7,93","0,00","0,00",Crypto,Crypto,United States,Play
Fineco,Cash,,"0,00","0,00000000","1,00","153,03",,,"0,00","0,00","153,03","0,00","0,00",Cash,,Italy,,,,Fineco,LCCN.MI,,"0,00","0,00000000","20,00","20,70",,,"0,00","0,00","414,00","0,00","0,00",ETF,ETF,China,Core,,LCCN.MI_Fineco,Fineco,LCCN.MI,,"0,00","0,00000000","20,00",EUR,"20,70",,,"0,00","0,00","414,00","0,00","0,00",ETF,ETF,China,Core
Fineco,ACWIA.MI,,"0,00","0,00000000","3,00","200,05",,,"0,00","0,00","600,15","0,00","0,00",ETF,ETF,United States,Core,,,Fineco,BIT:VECA,,"0,00","0,00000000","3,00","53,27","-0,21%","-0,33","0,00","0,00","159,81","0,00","0,00",ETF,ETF,European Union,Core,,BIT:VECA_Fineco,Fineco,BIT:VECA,,"0,00","0,00000000","3,00",EUR,"53,27","-0,21%","-0,33","0,00","0,00","159,81","0,00","0,00",ETF,ETF,European Union,Core
Fineco,PHAU.MI,,"0,00","0,00000000","2,00","322,51",,,"0,00","0,00","645,02","0,00","0,00",ETF,ETF,United States,Core,,,Fineco,BIT:CSBGU7,,"0,00","0,00000000","1,00","123,37","0,05%","0,06","0,00","0,00","123,37","0,00","0,00",ETF,ETF,United States,Core,,BIT:CSBGU7_Fineco,Fineco,BIT:CSBGU7,,"0,00","0,00000000","1,00",EUR,"123,37","0,05%","0,06","0,00","0,00","123,37","0,00","0,00",ETF,ETF,United States,Core
Fineco,BIT:A500,,"0,00","0,00000000","2,00","117,75","0,17%","0,40","0,00","0,00","235,50","0,00","0,00",ETF,ETF,United States,Core,,,Fineco,BIT:CMOD,,"0,00","0,00000000","11,00","22,58","0,94%","2,31","0,00","0,00","248,38","0,00","0,00",ETF,ETF,United States,Core,,BIT:CMOD_Fineco,Fineco,BIT:CMOD,,"0,00","0,00000000","11,00",EUR,"22,58","0,94%","2,31","0,00","0,00","248,38","0,00","0,00",ETF,ETF,United States,Core
Fineco,BIT:EMI,,"0,00","0,00000000","2,00","167,95","-0,10%","-0,32","0,00","0,00","335,90","0,00","0,00",ETF,ETF,European Union,Core,,,Binance,BTCEUR,,"0,00","0,00000000","0,02","92.090,50",,,"0,00","0,00","1.726,31","0,00","0,00",Crypto,Crypto,United States,Play,,BTCEUR_Binance,Binance,BTCEUR,,"0,00","0,00000000","0,02",EUR,"92.090,50",,,"0,00","0,00","1.726,31","0,00","0,00",Crypto,Crypto,United States,Play
Fineco,LCCN.MI,,"0,00","0,00000000","20,00","20,70",,,"0,00","0,00","414,00","0,00","0,00",ETF,ETF,China,Core,,,Nexo,BTCEUR,,"0,00","0,00000000","0,00","92.090,50",,,"0,00","0,00","-448,77","0,00","0,00",Crypto,Crypto,United States,Play,,BTCEUR_Nexo,Nexo,BTCEUR,,"0,00","0,00000000","0,00",EUR,"92.090,50",,,"0,00","0,00","-448,77","0,00","0,00",Crypto,Crypto,United States,Play
Fineco,BIT:VECA,,"0,00","0,00000000","3,00","53,27","-0,21%","-0,33","0,00","0,00","159,81","0,00","0,00",ETF,ETF,European Union,Core,,,Fineco,BIT:SWDA,,"0,00","0,00000000","32,00","111,95","0,12%","4,16","0,00","0,00","3.582,40","0,00","0,00",ETF,ETF,United States,Core,,BIT:SWDA_Fineco,Fineco,BIT:SWDA,,"0,00","0,00000000","32,00",EUR,"111,95","0,12%","4,16","0,00","0,00","3.582,40","0,00","0,00",ETF,ETF,United States,Core
Fineco,BIT:CSBGU7,,"0,00","0,00000000","1,00","123,37","0,05%","0,06","0,00","0,00","123,37","0,00","0,00",ETF,ETF,United States,Core,,,BBVA,Cash,,"0,00","0,00000000","1,00","14.000,00",,,"0,00","0,00","14.000,00","0,00","0,00",Cash,,Italy,,,Cash_BBVA,BBVA,Cash,,"0,00","0,00000000","1,00",EUR,"14.000,00",,,"0,00","0,00","14.000,00","0,00","0,00",Cash,,Italy,
Fineco,BIT:CMOD,,"0,00","0,00000000","11,00","22,58","0,94%","2,31","0,00","0,00","248,38","0,00","0,00",ETF,ETF,United States,Core,,,Revolut,Cash,,"0,00","0,00000000","1,00","11.700,00",,,"0,00","0,00","11.700,00","0,00","0,00",Cash,,Italy,,,Cash_Revolut,Revolut,Cash,,"0,00","0,00000000","1,00",EUR,"11.700,00",,,"0,00","0,00","11.700,00","0,00","0,00",Cash,,Italy,
Fineco,BIT:SWDA,,"0,00","0,00000000","32,00","111,95","0,12%","4,16","0,00","0,00","3.582,40","0,00","0,00",ETF,ETF,United States,Core,,,Paypal,Cash,,"0,00","0,00000000","1,00","700,00",,,"0,00","0,00","700,00","0,00","0,00",Cash,,Italy,,,Cash_Paypal,Paypal,Cash,,"0,00","0,00000000","1,00",EUR,"700,00",,,"0,00","0,00","700,00","0,00","0,00",Cash,,Italy,
Fineco,EMXC.BE,,"0,00","0,00000000","16,00","29,88",,,"0,00","0,00","478,08","0,00","0,00",ETF,ETF,Japan,Core,,,Youhodler,BTCEUR,,"0,00","0,00000000","0,00","92.090,50",,,"0,00","0,00","116,95","0,00","0,00",Crypto,Crypto,United States,Play,,BTCEUR_Youhodler,Youhodler,BTCEUR,,"0,00","0,00000000","0,00",EUR,"92.090,50",,,"0,00","0,00","116,95","0,00","0,00",Crypto,Crypto,United States,Play
Mercury,Cash,,"0,00","0,00000000","1,00","2.433,42",,"0,00","0,00","0,00","2.433,42","0,00","0,00",Cash,,United States,,,,Mercury,Cash,,"0,00","0,00000000","1,00","2.433,42",,"0,00","0,00","0,00","2.433,42","0,00","0,00",Cash,,United States,,,Cash_Mercury,Mercury,Cash,,"0,00","0,00000000","1,00",USD,"2.800,00",,,"0,00","0,00","2.800,00","0,00","0,00",Cash,,United States,
Nexo,BTCEUR,,"0,00","0,00000000","0,00","92.090,50",,,"0,00","0,00","-448,77","0,00","0,00",Crypto,Crypto,United States,Play,,,Wise,Cash,,"0,00","0,00000000","1,00","5.800,00",,,"0,00","0,00","5.800,00","0,00","0,00",Cash,,United States,,,Cash_Wise,Wise,Cash,,"0,00","0,00000000","1,00",EUR,"5.800,00",,,"0,00","0,00","5.800,00","0,00","0,00",Cash,,United States,
Paypal,Cash,,"0,00","0,00000000","1,00","700,00",,,"0,00","0,00","700,00","0,00","0,00",Cash,,Italy,,,,Fineco,EMXC.BE,,"0,00","0,00000000","16,00","29,88",,,"0,00","0,00","478,08","0,00","0,00",ETF,ETF,Japan,Core,,EMXC.BE_Fineco,Fineco,EMXC.BE,,"0,00","0,00000000","16,00",EUR,"29,88",,,"0,00","0,00","478,08","0,00","0,00",ETF,ETF,Japan,Core
Revolut,Cash,,"0,00","0,00000000","1,00","11.700,00",,,"0,00","0,00","11.700,00","0,00","0,00",Cash,,Italy,,,,Binance,ETHEUR,,"0,00","0,00000000","0,20","3.106,76",,,"0,00","0,00","633,25","0,00","0,00",Crypto,Crypto,United States,Play,,ETHEUR_Binance,Binance,ETHEUR,,"0,00","0,00000000","0,20",EUR,"3.106,76",,,"0,00","0,00","633,25","0,00","0,00",Crypto,Crypto,United States,Play
Wise,Cash,,"0,00","0,00000000","1,00","5.800,00",,,"0,00","0,00","5.800,00","0,00","0,00",Cash,,United States,,,,Binance,SOLEUR,,"0,00","0,00000000","0,04","143,22",,,"0,00","0,00","5,24","0,00","0,00",Crypto,Crypto,United States,Play,,SOLEUR_Binance,Binance,SOLEUR,,"0,00","0,00000000","0,04",EUR,"143,22",,,"0,00","0,00","5,24","0,00","0,00",Crypto,Crypto,United States,Play
Youhodler,BTCEUR,,"0,00","0,00000000","0,00","92.090,50",,,"0,00","0,00","116,95","0,00","0,00",Crypto,Crypto,United States,Play,,,Binance,BNBEUR,,"0,00","0,00000000","0,01","855,22",,,"0,00","0,00","6,09","0,00","0,00",Crypto,Crypto,United States,Play,,BNBEUR_Binance,Binance,BNBEUR,,"0,00","0,00000000","0,01",EUR,"855,22",,,"0,00","0,00","6,09","0,00","0,00",Crypto,Crypto,United States,Play