Total Portfolio in EUR,,,,,,,,,,,,,,,,,,,,,,,Total Portfolio in EUR,,,,,,,,,,,,,,,,,,,,,,Total Portfolio in Original Currencies,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By:,Asset Ticker,Desc,Portfolio Market Value:,,"8.888,53",,Portfolio Cost:,,"7.045,27",Cash Dividends:,,"0,00",P/L (Income Included),,,Realised P/L:,"44,31",Top Performer Overall,,BIT:A500,"90,94%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio with Closed Positions:,,TRUE,Positions:,,"8.888,53","100,00%",Unrealised ROI:,,"26,16%",Cash Interest:,,"0,00",ROI:,"26,16%",,Total Profit / Loss,,Worst Performer Overall,,ADAEUR,"-66,67%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio with Fees:,,TRUE,Cash:,,"0,00","0,00%",Unrealised P/L:,,"1.843,26",,,,P/L:,"1.843,26",,"1.887,57",,Daily Portfolio % Change,,"-0,05%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refresh Yahoo Finance Prices:,,TRUE,,,,,,,,,,,,,,,,Daily Portfolio Change,,"-4,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio with Crypto:,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio without Cash:,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Ticker,Crypto URL Name,Quantity,Avg. Purchase Price,Market Price,Daily % Change,Daily Change,Total Cost,Market Value,Unrealised ROI,Unrealised P/L,Realised P/L,Cash Dividends,Crypto Interest,Crypto Interest (Fiat Value),Cash Interest,Total Profit/Loss,Asset Class,Sector,Country,Strategy,365 Day Trend,,Asset Ticker,Crypto URL Name,Quantity,Avg. Purchase Price,Market Price,Daily % Change,Daily Change,Total Cost,Market Value,Unrealised ROI,Unrealised P/L,Realised P/L,Cash Dividends,Crypto Interest,Crypto Interest (Fiat Value),Cash Interest,Total Profit/Loss,Asset Class,Sector,Country,Strategy,,Non-Cash Assets,Cash Assets,Asset Ticker,Crypto URL Name,Quantity,Avg. Purchase Price,Currency,Market Price,Daily % Change,Daily Change,Total Cost,Market Value,Unrealised ROI,Unrealised P/L,Realised P/L,Cash Dividends,Crypto Interest,Crypto Interest (Fiat Value),Cash Interest,Total Profit/Loss,Asset Class,Sector,Country,Strategy
SOLEUR,,"0,04","176,13","143,22",,,"6,44","5,24","-18,68%","-1,20","0,00","0,00","0,00000000","0,00","0,00","-1,20",Crypto,Crypto,United States,Play,,,Cash_Fineco,,"1,00",,"153,03",,,"0,00","153,03",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,,,ACWIA.MI,Cash_Fineco,Cash_Fineco,,"1,00",,EUR,"153,03",,,"0,00","153,03",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,
SHIB-EUR,,"1.000.000,00","0,00","0,00",,,"8,24","7,93","-3,77%","-0,31","0,00","0,00","0,00000000","0,00","0,00","-0,31",Crypto,Crypto,United States,Play,,,Cash_BBVA,,"1,00",,"14.000,00",,,"0,00","14.000,00",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,,,PHAU.MI,Cash_BBVA,Cash_BBVA,,"1,00",,EUR,"14.000,00",,,"0,00","14.000,00",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,
PHAU.MI,,"2,00","213,38","322,51",,,"426,75","645,02","51,15%","218,27","0,00","0,00","0,00000000","0,00","0,00","218,27",ETF,ETF,United States,Core,,,Cash_Revolut,,"1,00",,"11.700,00",,,"0,00","11.700,00",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,,,BIT:A500,Cash_Revolut,Cash_Revolut,,"1,00",,EUR,"11.700,00",,,"0,00","11.700,00",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,
LCCN.MI,,"20,00","18,52","20,70",,,"370,33","414,00","11,79%","43,67","0,00","0,00","0,00000000","0,00","0,00","43,67",ETF,ETF,China,Core,,,Cash_Paypal,,"1,00",,"700,00",,,"0,00","700,00",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,,,BIT:EMI,Cash_Paypal,Cash_Paypal,,"1,00",,EUR,"700,00",,,"0,00","700,00",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,Italy,
ETHEUR,,"0,21","2.475,98","3.106,76",,,"514,58","645,68","25,48%","131,09","0,00","0,00","0,00000000","0,00","0,00","131,09",Crypto,Crypto,United States,Play,,,Cash_Mercury,,"1,00",,"2.433,42",,"0,00","0,00","2.433,42",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,United States,,,BTCEUR,Cash_Mercury,Cash_Mercury,,"1,00",,USD,"2.800,00",,,"0,00","2.800,00",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,United States,
EMXC.BE,,"16,00","24,26","29,88",,,"388,16","478,08","23,17%","89,92","0,00","0,00","0,00000000","0,00","0,00","89,92",ETF,ETF,Japan,Core,,,Cash_Wise,,"1,00",,"5.800,00",,,"0,00","5.800,00",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,United States,,,ADAEUR,Cash_Wise,Cash_Wise,,"1,00",,EUR,"5.800,00",,,"0,00","5.800,00",,,"0,00","0,00","0,00000000","0,00","0,00","0,00",Cash,,United States,
BTCEUR,,"0,02","55.889,54","92.090,50",,,"847,94","1.397,17","64,77%","549,23","44,31","0,00","0,00000000","0,00","0,00","593,54",Crypto,Crypto,United States,Play,,,ACWIA.MI,,"3,00","131,41","200,05",,,"394,22","600,15","52,24%","205,93","0,00","0,00","0,00000000","0,00","0,00","205,93",ETF,ETF,United States,Core,,ETHEUR,,ACWIA.MI,,"3,00","131,41",EUR,"200,05",,,"394,22","600,15","52,24%","205,93","0,00","0,00","0,00000000","0,00","0,00","205,93",ETF,ETF,United States,Core
BNBEUR,,"0,01","837,26","855,22",,,"5,96","6,09","2,15%","0,13","0,00","0,00","0,00000000","0,00","0,00","0,13",Crypto,Crypto,United States,Play,,,PHAU.MI,,"2,00","213,38","322,51",,,"426,75","645,02","51,15%","218,27","0,00","0,00","0,00000000","0,00","0,00","218,27",ETF,ETF,United States,Core,,SHIB-EUR,,PHAU.MI,,"2,00","213,38",EUR,"322,51",,,"426,75","645,02","51,15%","218,27","0,00","0,00","0,00000000","0,00","0,00","218,27",ETF,ETF,United States,Core
BIT:VECA,,"3,00","53,34","53,27","-0,21%","-0,33","160,02","159,81","-0,13%","-0,21","0,00","0,00","0,00000000","0,00","0,00","-0,21",ETF,ETF,European Union,Core,,,BIT:A500,,"2,00","61,67","117,75","0,17%","0,40","123,34","235,50","90,94%","112,16","0,00","0,00","0,00000000","0,00","0,00","112,16",ETF,ETF,United States,Core,,LCCN.MI,,BIT:A500,,"2,00","61,67",EUR,"117,75","0,17%","0,40","123,34","235,50","90,94%","112,16","0,00","0,00","0,00000000","0,00","0,00","112,16",ETF,ETF,United States,Core
BIT:SWDA,,"32,00","97,98","111,95","0,12%","4,16","3.135,36","3.582,40","14,26%","447,04","0,00","0,00","0,00000000","0,00","0,00","447,04",ETF,ETF,United States,Core,,,BIT:EMI,,"2,00","164,99","167,95","-0,10%","-0,32","329,97","335,90","1,80%","5,93","0,00","0,00","0,00000000","0,00","0,00","5,93",ETF,ETF,European Union,Core,,BIT:VECA,,BIT:EMI,,"2,00","164,99",EUR,"167,95","-0,10%","-0,32","329,97","335,90","1,80%","5,93","0,00","0,00","0,00000000","0,00","0,00","5,93",ETF,ETF,European Union,Core
BIT:EMI,,"2,00","164,99","167,95","-0,10%","-0,32","329,97","335,90","1,80%","5,93","0,00","0,00","0,00000000","0,00","0,00","5,93",ETF,ETF,European Union,Core,,,BTCEUR,,"0,02","55.889,54","92.090,50",,,"847,94","1.397,17","64,77%","549,23","44,31","0,00","0,00000000","0,00","0,00","593,54",Crypto,Crypto,United States,Play,,BIT:CSBGU7,,BTCEUR,,"0,02","55.889,54",EUR,"92.090,50",,,"847,94","1.397,17","64,77%","549,23","44,31","0,00","0,00000000","0,00","0,00","593,54",Crypto,Crypto,United States,Play
BIT:CSBGU7,,"1,00","119,16","123,37","0,05%","0,06","119,16","123,37","3,53%","4,21","0,00","0,00","0,00000000","0,00","0,00","4,21",ETF,ETF,United States,Core,,,ADAEUR,,"8,00","1,43","0,48",,,"11,45","3,82","-66,67%","-7,63","0,00","0,00","0,00000000","0,00","0,00","-7,63",Crypto,Crypto,United States,Play,,BIT:CMOD,,ADAEUR,,"8,00","1,43",EUR,"0,48",,,"11,45","3,82","-66,67%","-7,63","0,00","0,00","0,00000000","0,00","0,00","-7,63",Crypto,Crypto,United States,Play
BIT:CMOD,,"11,00","18,49","22,58","0,94%","2,31","203,35","248,38","22,14%","45,03","0,00","0,00","0,00000000","0,00","0,00","45,03",ETF,ETF,United States,Core,,,ETHEUR,,"0,21","2.475,98","3.106,76",,,"514,58","645,68","25,48%","131,09","0,00","0,00","0,00000000","0,00","0,00","131,09",Crypto,Crypto,United States,Play,,BIT:SWDA,,ETHEUR,,"0,21","2.475,98",EUR,"3.106,76",,,"514,58","645,68","25,48%","131,09","0,00","0,00","0,00000000","0,00","0,00","131,09",Crypto,Crypto,United States,Play
BIT:A500,,"2,00","61,67","117,75","0,17%","0,40","123,34","235,50","90,94%","112,16","0,00","0,00","0,00000000","0,00","0,00","112,16",ETF,ETF,United States,Core,,,SHIB-EUR,,"1.000.000,00","0,00","0,00",,,"8,24","7,93","-3,77%","-0,31","0,00","0,00","0,00000000","0,00","0,00","-0,31",Crypto,Crypto,United States,Play,,EMXC.BE,,SHIB-EUR,,"1.000.000,00","0,00",EUR,"0,00",,,"8,24","7,93","-3,77%","-0,31","0,00","0,00","0,00000000","0,00","0,00","-0,31",Crypto,Crypto,United States,Play
ADAEUR,,"8,00","1,43","0,48",,,"11,45","3,82","-66,67%","-7,63","0,00","0,00","0,00000000","0,00","0,00","-7,63",Crypto,Crypto,United States,Play,,,LCCN.MI,,"20,00","18,52","20,70",,,"370,33","414,00","11,79%","43,67","0,00","0,00","0,00000000","0,00","0,00","43,67",ETF,ETF,China,Core,,SOLEUR,,LCCN.MI,,"20,00","18,52",EUR,"20,70",,,"370,33","414,00","11,79%","43,67","0,00","0,00","0,00000000","0,00","0,00","43,67",ETF,ETF,China,Core
ACWIA.MI,,"3,00","131,41","200,05",,,"394,22","600,15","52,24%","205,93","0,00","0,00","0,00000000","0,00","0,00","205,93",ETF,ETF,United States,Core,,,BIT:VECA,,"3,00","53,34","53,27","-0,21%","-0,33","160,02","159,81","-0,13%","-0,21","0,00","0,00","0,00000000","0,00","0,00","-0,21",ETF,ETF,European Union,Core,,BNBEUR,,BIT:VECA,,"3,00","53,34",EUR,"53,27","-0,21%","-0,33","160,02","159,81","-0,13%","-0,21","0,00","0,00","0,00000000","0,00","0,00","-0,21",ETF,ETF,European Union,Core
,,,,,,,,,,,,,,,,,,,,,,,BIT:CSBGU7,,"1,00","119,16","123,37","0,05%","0,06","119,16","123,37","3,53%","4,21","0,00","0,00","0,00000000","0,00","0,00","4,21",ETF,ETF,United States,Core,,,,BIT:CSBGU7,,"1,00","119,16",EUR,"123,37","0,05%","0,06","119,16","123,37","3,53%","4,21","0,00","0,00","0,00000000","0,00","0,00","4,21",ETF,ETF,United States,Core
,,,,,,,,,,,,,,,,,,,,,,,BIT:CMOD,,"11,00","18,49","22,58","0,94%","2,31","203,35","248,38","22,14%","45,03","0,00","0,00","0,00000000","0,00","0,00","45,03",ETF,ETF,United States,Core,,,,BIT:CMOD,,"11,00","18,49",EUR,"22,58","0,94%","2,31","203,35","248,38","22,14%","45,03","0,00","0,00","0,00000000","0,00","0,00","45,03",ETF,ETF,United States,Core
,,,,,,,,,,,,,,,,,,,,,,,BIT:SWDA,,"32,00","97,98","111,95","0,12%","4,16","3.135,36","3.582,40","14,26%","447,04","0,00","0,00","0,00000000","0,00","0,00","447,04",ETF,ETF,United States,Core,,,,BIT:SWDA,,"32,00","97,98",EUR,"111,95","0,12%","4,16","3.135,36","3.582,40","14,26%","447,04","0,00","0,00","0,00000000","0,00","0,00","447,04",ETF,ETF,United States,Core
,,,,,,,,,,,,,,,,,,,,,,,EMXC.BE,,"16,00","24,26","29,88",,,"388,16","478,08","23,17%","89,92","0,00","0,00","0,00000000","0,00","0,00","89,92",ETF,ETF,Japan,Core,,,,EMXC.BE,,"16,00","24,26",EUR,"29,88",,,"388,16","478,08","23,17%","89,92","0,00","0,00","0,00000000","0,00","0,00","89,92",ETF,ETF,Japan,Core
,,,,,,,,,,,,,,,,,,,,,,,SOLEUR,,"0,04","176,13","143,22",,,"6,44","5,24","-18,68%","-1,20","0,00","0,00","0,00000000","0,00","0,00","-1,20",Crypto,Crypto,United States,Play,,,,SOLEUR,,"0,04","176,13",EUR,"143,22",,,"6,44","5,24","-18,68%","-1,20","0,00","0,00","0,00000000","0,00","0,00","-1,20",Crypto,Crypto,United States,Play
,,,,,,,,,,,,,,,,,,,,,,,BNBEUR,,"0,01","837,26","855,22",,,"5,96","6,09","2,15%","0,13","0,00","0,00","0,00000000","0,00","0,00","0,13",Crypto,Crypto,United States,Play,,,,BNBEUR,,"0,01","837,26",EUR,"855,22",,,"5,96","6,09","2,15%","0,13","0,00","0,00","0,00000000","0,00","0,00","0,13",Crypto,Crypto,United States,Play